id,ra_deg,dec_deg,mag,pm_ra_mas_yr,pm_dec_mas_yr,common_name
3122,9.931849,-11.150480,6.830,-58.49,-123.93,
3132,9.948979,82.493575,6.380,-113.67,77.23,
3137,9.966312,-44.796333,6.000,42.69,16.74,
3138,9.981475,21.438564,5.360,28.46,-28.51,
3142,9.989965,-33.961186,6.680,330.05,-108.27,
3145,9.997805,76.871170,6.730,3.48,-14.42,
3170,10.102734,-59.455681,5.890,883.26,443.01,
3175,10.118987,-16.516598,6.490,41.94,-32.25,
3179,10.126613,56.537409,2.240,50.36,-32.17,
3185,10.135016,-23.803993,6.140,635.49,-363.28,
3188,10.138867,-29.420879,6.750,17.19,8.14,
3193,10.176588,-4.351806,5.900,-15.29,-14.48,
3231,10.279981,39.458671,5.300,-14.37,-3.02,
3236,10.299778,9.355308,6.520,-122.64,-103.11,
3240,10.303101,52.197734,6.740,-36.37,-27.92,
3245,10.331567,-46.085009,4.590,-28.92,1.04,
3266,10.393630,-25.196458,6.550,-5.10,-43.38,
3267,10.393825,65.868362,6.950,71.95,-60.45,
3269,10.399897,24.629065,6.060,104.68,-23.40,
3277,10.442925,-56.501455,5.720,90.15,57.28,
3299,10.514316,66.147613,5.830,-9.79,-8.55,
3300,10.516184,50.512542,4.800,12.32,-6.48,
3316,10.560452,-11.804800,6.780,90.41,-28.66,
3330,10.617905,-65.468130,5.380,54.11,41.12,
3334,10.629206,58.753431,6.180,29.43,-8.47,
3346,10.658309,52.337162,6.940,-5.56,-3.25,
3352,10.673499,-60.262682,5.990,263.68,-51.74,
3356,10.678708,-38.463467,6.050,2.49,-6.25,
3369,10.711497,-9.921639,6.630,-26.97,-21.33,
3371,10.719877,16.662669,6.560,-33.20,-84.12,
3397,10.822803,-45.181347,6.980,31.67,4.36,
3405,10.838517,-57.463098,4.360,-5.16,15.50,
3414,10.867045,47.024637,4.950,-24.52,-37.16,
3419,10.896785,-17.986684,2.040,232.79,32.71,
3436,10.958702,-12.011307,6.010,-0.84,-207.83,
3438,10.967767,33.310684,6.920,1.04,12.90,
3445,11.012528,70.823480,6.750,-12.68,-22.40,
3455,11.047523,-10.609274,4.770,-6.96,-113.88,
3456,11.049647,-38.421979,5.900,247.02,120.68,
3459,11.059846,-49.385892,6.860,36.57,-0.44,
3478,11.109276,47.863963,5.660,-39.77,8.54,
3489,11.131348,-62.497606,6.060,103.16,6.29,
3490,11.147280,-78.082173,6.610,14.96,-6.52,
3497,11.162685,-65.647718,6.550,157.92,-742.38,
3504,11.181259,48.284383,4.480,17.79,-7.62,
3505,11.185155,-22.006332,5.220,-66.07,81.15,
3509,11.199058,67.158321,6.900,217.29,-57.56,
3517,11.227626,-63.196526,6.940,13.14,-38.68,
3521,11.238015,-42.676325,5.940,-89.06,-96.11,
3527,11.248836,-53.714900,6.150,223.40,2.20,
3532,11.260000,62.528609,6.620,7.81,-2.26,
3544,11.321681,55.221409,5.410,-28.35,-5.34,
3552,11.350433,-4.629251,6.150,37.13,37.65,
3559,11.369613,-12.880310,6.150,-32.25,-205.68,
3572,11.412964,74.988126,5.640,-14.93,-21.86,
3576,11.423751,-16.424205,6.470,12.04,-6.07,
3583,11.439308,-47.552176,5.800,183.96,78.36,
3584,11.441460,56.774896,6.950,1.71,-3.90,
3604,11.544996,44.861508,6.030,17.64,-4.56,
3607,11.548455,-22.522067,5.490,197.14,-12.25,
3611,11.562679,55.305391,6.510,9.85,-4.38,
3632,11.637400,15.475612,5.360,-29.45,-44.22,
3637,11.655372,-30.190929,6.810,-23.76,-3.06,
3638,11.657396,46.893770,6.860,39.11,6.13,
3641,11.659293,69.325371,6.390,166.87,15.31,
3649,11.676942,59.574541,6.410,-5.89,-0.88,
3650,11.686685,21.624377,6.950,55.26,-19.70,
3675,11.755943,11.973935,5.510,53.83,-35.12,
3685,11.806501,19.578686,6.110,107.75,6.66,
3693,11.834959,24.267377,4.080,-101.23,-81.89,
3697,11.848431,6.740981,5.980,14.42,-10.26,
3717,11.930007,-18.061423,5.700,30.18,34.40,
3719,11.937315,26.291627,6.930,99.22,11.38,
3721,11.941749,74.847587,5.420,15.03,-5.94,
3730,11.978035,20.925311,6.510,160.09,14.46,
3736,11.995960,51.444782,6.860,-4.48,-11.75,
3741,12.004379,-21.722475,5.570,24.99,-7.23,
3750,12.036981,72.674458,5.860,133.71,9.87,
3755,12.048551,65.119638,6.910,25.78,-11.59,
3760,12.072269,7.299920,5.920,111.61,3.41,
3765,12.093888,5.283389,5.740,758.04,-1141.22,
3781,12.146327,-74.923354,5.090,133.21,-34.59,
3786,12.170397,7.585202,4.440,83.14,-50.48,
3787,12.171242,52.100843,6.820,3.77,-13.35,
3788,12.171726,-28.495298,6.780,85.66,-54.88,
3801,12.208306,50.968192,4.900,30.28,-9.82,
3807,12.236403,-46.697698,6.280,-10.56,20.81,
3810,12.244624,16.941134,5.070,-2.33,-201.57,
3823,12.269414,14.809199,6.950,0.81,1.66,
3821,12.271253,57.816548,3.460,1087.11,-559.65,
3834,12.307910,-24.136527,5.900,77.47,-59.62,
